FID_,SYS_ID,NAME_PY,NAME_CH,NAME_FT,X_COORD,Y_COORD,PRES_LOC,TYPE_PY,TYPE_CH,LEV_RANK,BEG_YR,BEG_RULE,END_YR,END_RULE,DYN_PY,DYN_CH,LEV1_PY,LEV1_CH,LEV2_PY,LEV2_CH,NOTE_ID,OBJ_TYPE,GEO_ID,GEO_SRC,COMPILER,GEOCOMP,CHECKER,ENT_DATE
,1,Ba Zhou,霸州,霸州,116.395248,39.101536,河北霸县,Zhou,州,6,1820,9,1820,9,Qingchao,清朝,Zhili,直隶,Shuntian Fu,顺天府,25000,POINT,9513,FROM_AC, ,傅林祥/余慰,邹逸麟,2001/06/30
,2,Zhenghuangdengsiqi Muchang,正黄等四旗牧厂,正黃等四旗牧廠,113.894218,41.214775,内蒙古兴和县北大井洼东北,Muchang,牧厂,6,1820,9,1820,9,Qingchao,清朝,Zhili,直隶,Koubeisanting,口北三厅,25000,POINT,2065,FROM_AC, ,傅林祥/余慰,邹逸麟,2001/06/30
,3,Dingxing,定兴县,定興縣,115.774193,39.269592,河北定兴县,Xian,县,6,1820,9,1820,9,Qingchao,清朝,Zhili,直隶,Baoding Fu,保定府,25000,POINT,9506,FROM_AC, ,傅林祥/余慰,邹逸麟,2001/06/30
,4,Shenze,深泽县,深澤縣,115.192085,38.184902,河北深泽县,Xian,县,6,1820,9,1820,9,Qingchao,清朝,Zhili,直隶,Ding Zhou,定州,25000,POINT,9500,FROM_AC, ,傅林祥/余慰,邹逸麟,2001/06/30
,5,Quyang,曲阳县,曲陽縣,114.690201,38.621449,河北曲阳县,Xian,县,6,1820,9,1820,9,Qingchao,清朝,Zhili,直隶,Ding Zhou,定州,25000,POINT,9500,FROM_AC, ,傅林祥/余慰,邹逸麟,2001/06/30
,6,Zaoqiang,枣强县,棗強縣,115.718079,37.502640,河北枣强县,Xian,县,6,1820,9,1820,9,Qingchao,清朝,Zhili,直隶,Ji Zhou,冀州,25000,POINT,9501,FROM_AC, ,傅林祥/余慰,邹逸麟,2001/06/30
,7,Wuyi,武邑县,武邑縣,115.890663,37.805992,河北武邑县,Xian,县,6,1820,9,1820,9,Qingchao,清朝,Zhili,直隶,Ji Zhou,冀州,25000,POINT,9501,FROM_AC, ,傅林祥/余慰,邹逸麟,2001/06/30
,8,Nangong,南宫县,南宮縣,115.380066,37.359154,河北南宫市,Xian,县,6,1820,9,1820,9,Qingchao,清朝,Zhili,直隶,Ji Zhou,冀州,25000,POINT,9501,FROM_AC, ,傅林祥/余慰,邹逸麟,2001/06/30
,9,Hengshui,衡水县,衡水縣,115.705727,37.726162,河北衡水市,Xian,县,6,1820,9,1820,9,Qingchao,清朝,Zhili,直隶,Ji Zhou,冀州,25000,POINT,9501,FROM_AC, ,傅林祥/余慰,邹逸麟,2001/06/30
,10,Xinhe,新河县,新河縣,115.246506,37.529594,河北新河县,Xian,县,6,1820,9,1820,9,Qingchao,清朝,Zhili,直隶,Ji Zhou,冀州,25000,POINT,9501,FROM_AC, ,傅林祥/余慰,邹逸麟,2001/06/30
,11,Wuqiang,武强县,武強縣,115.859230,37.994431,河北武强县西南武强镇,Xian,县,6,1820,9,1820,9,Qingchao,清朝,Zhili,直隶,Shen Zhou,深州,25000,POINT,9502,FROM_AC, ,傅林祥/余慰,邹逸麟,2001/06/30
,12,Raoyang,饶阳县,饒陽縣,115.736023,38.245987,河北饶阳县,Xian,县,6,1820,9,1820,9,Qingchao,清朝,Zhili,直隶,Shen Zhou,深州,25000,POINT,9502,FROM_AC, ,傅林祥/余慰,邹逸麟,2001/06/30
,13,Laishui,涞水县,淶水縣,115.707802,39.391743,河北涞水县,Xian,县,6,1820,9,1820,9,Qingchao,清朝,Zhili,直隶,Y Zhou,易州,25000,POINT,9503,FROM_AC, ,傅林祥/余慰,邹逸麟,2001/06/30
,14,Guangchang,广昌县,廣昌縣,114.688774,39.354015,河北涞源县,Xian,县,6,1820,9,1820,9,Qingchao,清朝,Zhili,直隶,Y Zhou,易州,25000,POINT,9503,FROM_AC, ,傅林祥/余慰,邹逸麟,2001/06/30
,15,Baixiang,柏乡县,柏鄉縣,114.680580,37.494690,河北柏乡县,Xian,县,6,1820,9,1820,9,Qingchao,清朝,Zhili,直隶,Zhao Zhou,赵州,25000,POINT,9504,FROM_AC, ,傅林祥/余慰,邹逸麟,2001/06/30
