FID_,SYS_ID,NAME_PY,NAME_CH,NAME_FT,PRES_LOC,TYPR_PY,TYPE_CH,LEV_RANG,BEG_YR,BEG_RULE,END_YR,END_RULE,DYN_PY,DYN_CH,LEV1_PY,LEV1_CH,NOTE_ID,OBJ_TYPE,GEO_SRC,COMPILER,GEOCOMPER,CHECKER,ENT_DATE,X_COORD,Y_COORD,AREA
,1788,Xizang,西藏,西藏, , , , ,1911,9,1911,9,Qingchao,清朝,Xizang,西藏,0,POLYGON,FROM_TAN, ,傅林祥/余慰,邹逸麟,2001/06/30,86.826180,31.412010,1438410.000000
,1789,Qinghai,青海,青海, , , , ,1911,9,1911,9,Qingchao,清朝,Qinghai,青海,0,POLYGON,FROM_TAN, ,傅林祥/余慰,邹逸麟,2001/06/30,95.979990,35.268640,645031.000000
,1790,Ye'erqiang,叶尔羌,葉爾羌, ,Fuji,府级,3,1911,9,1911,9,Qingchao,清朝,XinJiang,新疆,0,POLYGON,FROM_TAN, ,傅林祥/余慰,邹逸麟,2001/06/30,76.792410,37.943690,187370.000000
,1791,Akesu,阿克苏,阿克蘇, ,Fuji,府级,3,1911,9,1911,9,Qingchao,清朝,XinJiang,新疆,0,POLYGON,FROM_TAN, ,傅林祥/余慰,邹逸麟,2001/06/30,80.674200,41.274300,68273.000000
,1792,Wulumuqi,乌噜木齐,烏嚕木齊, ,Fuji,府级,3,1911,9,1911,9,Qingchao,清朝,XinJiang,新疆,0,POLYGON,FROM_TAN, ,傅林祥/余慰,邹逸麟,2001/06/30,87.048930,44.432130,93639.101562
,1793,Gucheng,古城,古城, ,Fuji,府级,3,1911,9,1911,9,Qingchao,清朝,XinJiang,新疆,0,POLYGON,FROM_TAN, ,傅林祥/余慰,邹逸麟,2001/06/30,90.372550,44.307180,34310.300781
,1794,Tulufan,吐鲁番,吐魯番, ,Fuji,府级,3,1911,9,1911,9,Qingchao,清朝,XinJiang,新疆,0,POLYGON,FROM_TAN, ,傅林祥/余慰,邹逸麟,2001/06/30,89.842000,41.806890,108007.000000
,1795,Balikun,巴里坤,巴里坤, ,Fuji,府级,3,1911,9,1911,9,Qingchao,清朝,XinJiang,新疆,0,POLYGON,FROM_TAN, ,傅林祥/余慰,邹逸麟,2001/06/30,93.780070,44.039430,58317.398437
,1796,Hami,哈密,哈密, ,Fuji,府级,3,1911,9,1911,9,Qingchao,清朝,XinJiang,新疆,0,POLYGON,FROM_TAN, ,傅林祥/余慰,邹逸麟,2001/06/30,93.913160,42.178650,95756.000000
,1797,Hetian,和阗,和闐, ,Fuji,府级,3,1911,9,1911,9,Qingchao,清朝,XinJiang,新疆,0,POLYGON,FROM_TAN, ,傅林祥/余慰,邹逸麟,2001/06/30,84.990960,37.766430,678660.000000
,1798,Kuche,库车,庫車, ,Fuji,府级,3,1911,9,1911,9,Qingchao,清朝,XinJiang,新疆,0,POLYGON,FROM_TAN, ,傅林祥/余慰,邹逸麟,2001/06/30,82.755960,41.621200,27260.400390
,1799,Kalasha'er,喀喇沙尔,喀喇沙爾, ,Fuji,府级,3,1911,9,1911,9,Qingchao,清朝,XinJiang,新疆,0,POLYGON,FROM_TAN, ,傅林祥/余慰,邹逸麟,2001/06/30,85.725830,41.796740,115855.000000
,1800,Wushen,乌什,烏什, ,Fuji,府级,3,1911,9,1911,9,Qingchao,清朝,XinJiang,新疆,0,POLYGON,FROM_TAN, ,傅林祥/余慰,邹逸麟,2001/06/30,77.628260,40.974580,52390.898437
,1801,Ku'erkalawu,喀喇乌苏,喀喇烏蘇, ,Fuji,府级,3,1911,9,1911,9,Qingchao,清朝,XinJiang,新疆,0,POLYGON,FROM_TAN, ,傅林祥/余慰,邹逸麟,2001/06/30,83.529460,44.574220,32626.699218
,1802,Geshenge'er,喀什噶尔,喀什噶爾, ,Fuji,府级,3,1911,9,1911,9,Qingchao,清朝,XinJiang,新疆,0,POLYGON,FROM_TAN, ,傅林祥/余慰,邹逸麟,2001/06/30,74.573030,39.115200,174772.000000
,1803,Ta'erbahatai,塔尔巴哈台,塔爾巴哈臺, ,Fuji,府级,3,1911,9,1911,9,Qingchao,清朝,XinJiang,新疆,0,POLYGON,FROM_TAN, ,傅林祥/余慰,邹逸麟,2001/06/30,84.547420,47.242410,257208.000000
,1804,Yili,伊犁,伊犁, ,Fuji,府级,3,1911,9,1911,9,Qingchao,清朝,XinJiang,新疆,0,POLYGON,FROM_TAN, ,傅林祥/余慰,邹逸麟,2001/06/30,77.333530,43.997820,526459.000000
,1805,Tangnuwulianghai,唐努乌梁海,唐努烏粱海, ,Meng,盟,3,1911,9,1911,9,Qingchao,清朝,Wuliyasutai,乌里雅苏台,0,POLYGON,FROM_TAN, ,傅林祥/余慰,邹逸麟,2001/06/30,93.863110,51.535860,262392.000000
,1806,Tuxietuhanbu,土谢图汗部,土謝圖汗部, ,Meng,盟,3,1911,9,1911,9,Qingchao,清朝,Wuliyasutai,乌里雅苏台,0,POLYGON,FROM_TAN, ,傅林祥/余慰,邹逸麟,2001/06/30,107.117500,46.410970,398228.000000
,1807,Chechenhanbu,车臣汗部,車臣汗部, ,Meng,盟,3,1911,9,1911,9,Qingchao,清朝,Wuliyasutai,乌里雅苏台,0,POLYGON,FROM_TAN, ,傅林祥/余慰,邹逸麟,2001/06/30,113.912870,47.841340,273729.000000
,1808,Kebuduo,科布多,科布多, ,Meng,盟,3,1911,9,1911,9,Qingchao,清朝,Wuliyasutai,乌里雅苏台,0,POLYGON,FROM_TAN, ,傅林祥/余慰,邹逸麟,2001/06/30,89.602840,48.644120,440138.000000
,1809,Sanyinruoyanbu,三音诺颜部,三音諾顏部, ,Meng,盟,3,1911,9,1911,9,Qingchao,清朝,Wuliyasutai,乌里雅苏台,0,POLYGON,FROM_TAN, ,傅林祥/余慰,邹逸麟,2001/06/30,101.394930,45.647010,358593.000000
,1810,Zhasaketuhanbu,扎萨克图汗部,扎薩克圖汗部, ,Meng,盟,3,1911,9,1911,9,Qingchao,清朝,Wuliyasutai,乌里雅苏台,0,POLYGON,FROM_TAN, ,傅林祥/余慰,邹逸麟,2001/06/30,96.908460,46.557700,250559.000000
,1811,Xin Zhou,忻州,忻州, ,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Shanxi,山西,0,POLYGON,FROM_TAN, ,傅林祥/余慰,邹逸麟,2001/06/30,112.392410,38.317990,6310.569824
,1812,Qin Zhou,沁州,沁州, ,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Shanxi,山西,0,POLYGON,FROM_TAN, ,傅林祥/余慰,邹逸麟,2001/06/30,112.695390,36.720800,5508.000000
,1813,Huo Zhou,霍州,霍州, ,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Shanxi,山西,0,POLYGON,FROM_TAN, ,傅林祥/余慰,邹逸麟,2001/06/30,111.729860,36.649400,2731.500000
,1818,Liao Zhou,辽州,遼州, ,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Shanxi,山西,0,POLYGON,FROM_TAN, ,傅林祥/余慰,邹逸麟,2001/06/30,113.291190,37.140460,6431.259765
,1819,Lu'an Fu,潞安府,潞安府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Shanxi,山西,0,POLYGON,FROM_TAN, ,傅林祥/余慰,邹逸麟,2001/06/30,113.052410,36.334930,8716.169921
,1820,Zezhou Fu,泽州府,澤州府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Shanxi,山西,0,POLYGON,FROM_TAN, ,傅林祥/余慰,邹逸麟,2001/06/30,112.790140,35.619360,9402.009765
,1822,Pingyang Fu,平阳府,平陽府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Shanxi,山西,0,POLYGON,FROM_TAN, ,傅林祥/余慰,邹逸麟,2001/06/30,111.477070,36.104770,13887.700195
,1823,Jie Zhou,解州,解州, ,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Shanxi,山西,0,POLYGON,FROM_TAN, ,傅林祥/余慰,邹逸麟,2001/06/30,111.144730,34.974620,4570.390136
,1825,Xi Zhou,隰州,隰州, ,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Shanxi,山西,0,POLYGON,FROM_TAN, ,傅林祥/余慰,邹逸麟,2001/06/30,110.922820,36.640720,5897.100097
,1826,Fenzhou Fu,汾州府,汾州府, ,Cunzhen,府,3,1911,9,1911,9,Qingchao,清朝,Shanxi,山西,0,POLYGON,FROM_TAN, ,傅林祥/余慰,邹逸麟,2001/06/30,111.444430,37.579040,14590.500000
,1827,Ningwu Fu,宁武府,寧武府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Shanxi,山西,0,POLYGON,FROM_TAN, ,傅林祥/余慰,邹逸麟,2001/06/30,111.986070,39.100820,5893.939941
,1828,Taiyuan Fu,太原府,太原府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Shanxi,山西,0,POLYGON,FROM_TAN, ,傅林祥/余慰,邹逸麟,2001/06/30,112.421300,38.036640,17772.199218
,1829,Baode Zhou,保德州,保德州, ,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Shanxi,山西,0,POLYGON,FROM_TAN, ,傅林祥/余慰,邹逸麟,2001/06/30,111.311250,39.117330,2729.139892
,1830,GuiSuiLiTing,归绥六厅,歸綏六廳, ,Zhiliting,直隶厅,3,1911,9,1911,9,Qingchao,清朝,Shanxi,山西,0,POLYGON,FROM_TAN, ,傅林祥/余慰,邹逸麟,2001/06/30,111.113820,40.575080,21222.800781
,1844,Liangzhou Fu,凉州府,涼州府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Gansu,甘肃,0,POLYGON,FROM_TAN, ,傅林祥/余慰,邹逸麟,2001/06/30,102.568860,37.675470,45019.300781
,1845,Ganzhou Fu,甘州府,甘州府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Gansu,甘肃,0,POLYGON,FROM_TAN, ,傅林祥/余慰,邹逸麟,2001/06/30,100.358820,38.893080,22288.099609
,1846,Anxi Zhou,安西州,安西州, ,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Gansu,甘肃,0,POLYGON,FROM_TAN, ,傅林祥/余慰,邹逸麟,2001/06/30,95.484450,40.393150,179466.000000
,1847,Su Zhou,肃州,肅州, ,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Gansu,甘肃,0,POLYGON,FROM_TAN, ,傅林祥/余慰,邹逸麟,2001/06/30,98.917700,39.413110,32763.900390
,1848,Xining Fu,宁夏府,寧夏府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Gansu,甘肃,0,POLYGON,FROM_TAN, ,傅林祥/余慰,邹逸麟,2001/06/30,105.872820,38.118200,33201.699218
,1852,Xining Fu,西宁府,西寧府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Gansu,甘肃,0,POLYGON,FROM_TAN, ,傅林祥/余慰,邹逸麟,2001/06/30,101.723040,36.703490,35207.300781
,1853,Lanzhou Fu,兰州府,蘭州府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Gansu,甘肃,0,POLYGON,FROM_TAN, ,傅林祥/余慰,邹逸麟,2001/06/30,104.549860,36.264190,46852.601562
,1855,Gongchang Fu,巩昌府,鞏昌府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Gansu,甘肃,0,POLYGON,FROM_TAN, ,傅林祥/余慰,邹逸麟,2001/06/30,103.782910,34.707620,51723.199218
,1857,Zhong Zhou,忠州,忠州, ,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Sichuan,四川,0,POLYGON,FROM_TAN, ,傅林祥/余慰,邹逸麟,2001/06/30,107.646310,30.332170,7506.279785
,1859,Xuzhou Fu,叙州府,敘州府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Sichuan,四川,0,POLYGON,FROM_TAN, ,傅林祥/余慰,邹逸麟,2001/06/30,104.170880,28.692180,23145.599609
,1860,Jiading Fu,嘉定府,嘉定府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Sichuan,四川,0,POLYGON,FROM_TAN, ,傅林祥/余慰,邹逸麟,2001/06/30,103.858020,29.440450,12168.799804
