FID_,SYS_ID,NAME_PY,NAME_CH,NAME_FT,X_COORD,Y_COORD,PRES_LOC,TYPE_PY,TYPE_CH,LEV_RANK,BEG_YR,BEG_RULE,END_YR,END_RULE,DYN_PY,DYN_CH,LEV1_PY,LEV1_CH,LEV2_PY,LEV2_CH,NOTE_ID,OBJ_TYPE,GEO_ID,GEO_SRC,COMPILER,GEOCOMP,CHECKER,ENT_DATE
,9500,Ding Zhou,定州,定州,114.975044,38.520061,河北定州市,Zhilizhou,直隶州,1,1820,9,1820,9,Qingchao,清朝,Zhili,直隶, , ,25000,POINT,2062,FROM_AC, ,傅林祥/余慰,邹逸麟,2001/06/30
,9501,Ji Zhou,冀州,冀州,115.563812,37.565983,河北冀州市,Zhilizhou,直隶州,1,1820,9,1820,9,Qingchao,清朝,Zhili,直隶, , ,25000,POINT,2074,FROM_AC, ,傅林祥/余慰,邹逸麟,2001/06/30
,9502,Shen Zhou,深州,深州,115.548874,38.011730,河北深州市驻地,Zhilizhou,直隶州,1,1820,9,1820,9,Qingchao,清朝,Zhili,直隶, , ,25000,POINT,2063,FROM_AC, ,傅林祥/余慰,邹逸麟,2001/06/30
,9503,Yi Zhou,易州,易州,115.493477,39.349037,河北易县,Zhilizhou,直隶州,1,1820,9,1820,9,Qingchao,清朝,Zhili,直隶, , ,25000,POINT,2067,FROM_AC, ,傅林祥/余慰,邹逸麟,2001/06/30
,9504,Zhao Zhou,赵州,趙州,114.772179,37.752926,河北赵县,Zhilizhou,直隶州,1,1820,9,1820,9,Qingchao,清朝,Zhili,直隶, , ,25000,POINT,2069,FROM_AC, ,傅林祥/余慰,邹逸麟,2001/06/30
,9505,Zunhua Zhou,遵化州,遵化州,117.957985,40.184448,河北遵化市,Zhilizhou,直隶州,1,1820,9,1820,9,Qingchao,清朝,Zhili,直隶, , ,25000,POINT,2071,FROM_AC, ,傅林祥/余慰,邹逸麟,2001/06/30
,9506,Baoding Fu,保定府,保定府,115.484612,38.756588,河北保定市,Fu,府,1,1820,9,1820,9,Qingchao,清朝,Zhili,直隶, , ,25000,POINT,2078,FROM_AC, ,傅林祥/余慰,邹逸麟,2001/06/30
,9507,Daming Fu,大名府,大名府,115.146500,36.275528,河北大名县,Fu,府,1,1820,9,1820,9,Qingchao,清朝,Zhili,直隶, , ,25000,POINT,2076,FROM_AC, ,傅林祥/余慰,邹逸麟,2001/06/30
,9508,Hejian Fu,河间府,河間府,116.085533,38.435699,河北河间市,Fu,府,1,1820,9,1820,9,Qingchao,清朝,Zhili,直隶, , ,25000,POINT,2073,FROM_AC, ,傅林祥/余慰,邹逸麟,2001/06/30
,9509,Guangping Fu,广平府,廣平府,114.723068,36.701031,河北永年县东南永年,Fu,府,1,1820,9,1820,9,Qingchao,清朝,Zhili,直隶, , ,25000,POINT,2075,FROM_AC, ,傅林祥/余慰,邹逸麟,2001/06/30
,9510,Chengde Fu,承德府,承德府,117.919853,40.965794,河北承德市,Fu,府,1,1820,9,1820,9,Qingchao,清朝,Zhili,直隶, , ,25000,POINT,2064,FROM_AC, ,傅林祥/余慰,邹逸麟,2001/06/30
,9511,Xuanhua Fu,宣化府,宣化府,115.051147,40.610363,河北宣化县,Fu,府,1,1820,9,1820,9,Qingchao,清朝,Zhili,直隶, , ,25000,POINT,2066,FROM_AC, ,傅林祥/余慰,邹逸麟,2001/06/30
,9512,Shunde Fu,顺德府,順德府,114.494263,37.066357,河北邢台市,Fu,府,1,1820,9,1820,9,Qingchao,清朝,Zhili,直隶, , ,25000,POINT,2070,FROM_AC, ,傅林祥/余慰,邹逸麟,2001/06/30
,9513,Shuntian Fu,顺天府,順天府,116.368004,39.931427,北京市区,Fu,府,1,1820,9,1820,9,Qingchao,清朝,Zhili,直隶, , ,25000,POINT,2061,FROM_AC, ,傅林祥/余慰,邹逸麟,2001/06/30
,9514,Tianjin Fu,天津府,天津府,117.187820,39.136971,天津市区,Fu,府,1,1820,9,1820,9,Qingchao,清朝,Zhili,直隶, , ,25000,POINT,2077,FROM_AC, ,傅林祥/余慰,邹逸麟,2001/06/30
,9515,Yongping Fu,永平府,永平府,118.861954,39.877323,河北卢龙县,Fu,府,1,1820,9,1820,9,Qingchao,清朝,Zhili,直隶, , ,25000,POINT,2072,FROM_AC, ,傅林祥/余慰,邹逸麟,2001/06/30
,9516,Zhengding Fu,正定府,正定府,114.563644,38.140110,河北正定县,Fu,府,1,1820,9,1820,9,Qingchao,清朝,Zhili,直隶, , ,25000,POINT,2068,FROM_AC, ,傅林祥/余慰,邹逸麟,2001/06/30
,9529,Pingliang Fu,平凉府,平涼府,106.685699,35.535851,甘肃平凉市,Fu,府,1,1820,9,1820,9,Qingchao,清朝,Gansu,甘肃, , ,25000,POINT,1851,FROM_AC, ,傅林祥/余慰,邹逸麟,2001/06/30
,9530,Anxi Zhou,安西州,安西州,95.789055,40.534412,甘肃安西县,Zhilizhou,直隶州,1,1820,9,1820,9,Qingchao,清朝,Gansu,甘肃, , ,25000,POINT,1846,FROM_AC, ,傅林祥/余慰,邹逸麟,2001/06/30
,9531,Su Zhou,肃州,肅州,98.511253,39.744942,甘肃酒泉市,Zhilizhou,直隶州,1,1820,9,1820,9,Qingchao,清朝,Gansu,甘肃, , ,25000,POINT,1847,FROM_AC, ,傅林祥/余慰,邹逸麟,2001/06/30
,9532,Ganzhou Fu,甘州府,甘州府,100.449921,38.933113,甘肃张掖县,Fu,府,1,1820,9,1820,9,Qingchao,清朝,Gansu,甘肃, , ,25000,POINT,1845,FROM_AC, ,傅林祥/余慰,邹逸麟,2001/06/30
,9533,Ningxia Fu,宁夏府,寧夏府,106.273972,38.466972,宁夏银川市,Fu,府,1,1820,9,1820,9,Qingchao,清朝,Gansu,甘肃, , ,25000,POINT,1848,FROM_AC, ,傅林祥/余慰,邹逸麟,2001/06/30
,9534,Liangzhou Fu,凉州府,涼州府,102.634697,37.926918,甘肃武威县,Fu,府,1,1820,9,1820,9,Qingchao,清朝,Gansu,甘肃, , ,25000,POINT,1844,FROM_AC, ,傅林祥/余慰,邹逸麟,2001/06/30
,9535,Xining Fu,西宁府,西寧府,101.783936,36.608856,青海西宁市,Fu,府,1,1820,9,1820,9,Qingchao,清朝,Gansu,甘肃, , ,25000,POINT,1852,FROM_AC, ,傅林祥/余慰,邹逸麟,2001/06/30
,9536,Lanzhou Fu,兰州府,蘭州府,103.847137,36.047031,甘肃兰州市,Fu,府,1,1820,9,1820,9,Qingchao,清朝,Gansu,甘肃, , ,25000,POINT,1853,FROM_AC, ,傅林祥/余慰,邹逸麟,2001/06/30
,9537,Qingyang Fu,庆阳府,慶陽府,107.876022,36.005165,甘肃庆阳县,Fu,府,1,1820,9,1820,9,Qingchao,清朝,Gansu,甘肃, , ,25000,POINT,1849,FROM_AC, ,傅林祥/余慰,邹逸麟,2001/06/30
,9538,Gongchang Fu,巩昌府,鞏昌府,104.635605,35.007137,甘肃陇西县,Fu,府,1,1820,9,1820,9,Qingchao,清朝,Gansu,甘肃, , ,25000,POINT,1855,FROM_AC, ,傅林祥/余慰,邹逸麟,2001/06/30
,9539,Jing Zhou,泾州,涇州,107.363388,35.328808,甘肃泾川县,Zhilizhou,直隶州,1,1820,9,1820,9,Qingchao,清朝,Gansu,甘肃, , ,25000,POINT,1850,FROM_AC, ,傅林祥/余慰,邹逸麟,2001/06/30
,9540,Qin Zhou,秦州,秦州,105.716957,34.585472,甘肃天水市,Zhilizhou,直隶州,1,1820,9,1820,9,Qingchao,清朝,Gansu,甘肃, , ,25000,POINT,1843,FROM_AC, ,傅林祥/余慰,邹逸麟,2001/06/30
,9541,Jie Zhou,阶州,階州,104.929276,33.394840,甘肃武都县,Zhilizhou,直隶州,1,1820,9,1820,9,Qingchao,清朝,Gansu,甘肃, , ,25000,POINT,1854,FROM_AC, ,傅林祥/余慰,邹逸麟,2001/06/30
,9542,Nanxiong Zhou,南雄州,南雄州,114.302086,25.118843,广东南雄县,Zhilizhou,直隶州,1,1820,9,1820,9,Qingchao,清朝,Guangdong,广东, , ,25000,POINT,2052,FROM_AC, ,傅林祥/余慰,邹逸麟,2001/06/30
