"FID_","SYS_ID","NAME_PY","NAME_CH","NAME_FT","X_COORD","Y_COORD","PRES_LOC","TYPE_PY","TYPE_CH","LEV_RANK","BEG_YR","BEG_RULE","END_YR","END_RULE","DYN_PY","DYN_CH","LEV1_PY","LEN1_CH","LEV2_PY","LEV2_CH","CNTY_PY","CNTY_CH","NOTE_ID","OBJ_TYPE","LOC_ID","GEO_SRC","COMPILER","GEOCOMP","CHECKER","ENT_DATE"
,"15476","Peiziyanzhen","裴子岩镇","裴子巖鎮",115.040192,35.094616," ","Cunzhen","村镇","7",1820,"9",1820,"9","Qingchao","清朝","Zhili","直隶","Daming Fu","大名府"," "," ",25000,"POINT",9507,"FROM_TAN"," ","傅林祥/余慰","邹逸麟","2001/06/30"
,"15477","Baigoudian","白沟店","白溝店",116.008331,39.110516,"河北新城县东南白沟","Cunzhen","村镇","7",1820,"9",1820,"9","Qingchao","清朝","Zhili","直隶","Baoding Fu","保定府"," "," ",25000,"POINT",9506,"FROM_AC"," ","傅林祥/余慰","邹逸麟","2001/06/30"
,"15478","Qinghemen","清河门","清河門",121.407272,41.756893," ","Cunzhen","村镇","7",1820,"9",1820,"9","Qingchao","清朝","Zhili","直隶","Chengde Fu","承德府"," "," ",25000,"POINT",9510,"FROM_AC"," ","傅林祥/余慰","邹逸麟","2001/06/30"
,"15479","Zhagasu","扎嘎苏","扎嘎蘇",113.741066,41.500595,"内蒙古商都县东南脑包营子","Cunzhen","村镇","7",1820,"9",1820,"9","Qingchao","清朝","Zhili","直隶","Koubeisanting","口北三厅"," "," ",25000,"POINT",2065,"FROM_AC"," ","傅林祥/余慰","邹逸麟","2001/06/30"
,"15480","Lvqiudian","吕丘店","呂丘店",115.018257,35.439980," ","Cunzhen","村镇","7",1820,"9",1820,"9","Qingchao","清朝","Zhili","直隶","Daming Fu","大名府"," "," ",25000,"POINT",9507,"FROM_TAN"," ","傅林祥/余慰","邹逸麟","2001/06/30"
,"15481","Zhubaozhaibao","主薄寨堡","主薄寨堡",115.244659,35.798855," ","Cunzhen","村镇","7",1820,"9",1820,"9","Qingchao","清朝","Zhili","直隶","Daming Fu","大名府"," "," ",25000,"POINT",9507,"FROM_TAN"," ","傅林祥/余慰","邹逸麟","2001/06/30"
,"15482","Xiejiazhuangbao","谢家庄堡","謝家莊堡",115.469566,37.657967," ","Cunzhen","村镇","7",1820,"9",1820,"9","Qingchao","清朝","Zhili","直隶","Ji Zhou","冀州"," "," ",25000,"POINT",9501,"FROM_TAN"," ","傅林祥/余慰","邹逸麟","2001/06/30"
,"15483","Datianjiazhuang","大田家庄","大田家莊",115.697578,38.011753," ","Cunzhen","村镇","7",1820,"9",1820,"9","Qingchao","清朝","Zhili","直隶","Shen Zhou","深州"," "," ",25000,"POINT",9502,"FROM_TAN"," ","傅林祥/余慰","邹逸麟","2001/06/30"
,"15484","Wangshuzhen","望树镇","望樹鎮",117.319557,37.951103," ","Cunzhen","村镇","7",1820,"9",1820,"9","Qingchao","清朝","Zhili","直隶","Tianjin Fu","天津府"," "," ",25000,"POINT",9514,"FROM_AC"," ","傅林祥/余慰","邹逸麟","2001/06/30"
,"15485","Hedulingkou","鹤度岭口","鶴度嶺口",114.025940,37.470814," ","Cunzhen","村镇","7",1820,"9",1820,"9","Qingchao","清朝","Zhili","直隶","Shunde Fu","顺德府"," "," ",25000,"POINT",9512,"FROM_TAN"," ","傅林祥/余慰","邹逸麟","2001/06/30"
,"15486","Jinpiling","金陂岭","金陂嶺",115.230865,39.332726," ","Cunzhen","村镇","7",1820,"9",1820,"9","Qingchao","清朝","Zhili","直隶","Yi Zhou","易州"," "," ",25000,"POINT",9503,"FROM_AC"," ","傅林祥/余慰","邹逸麟","2001/06/30"
,"15487","Dongchencun","东陈村","東陳村",114.829048,37.540775," ","Cunzhen","村镇","7",1820,"9",1820,"9","Qingchao","清朝","Zhili","直隶","Zhao Zhou","赵州"," "," ",25000,"POINT",9504,"FROM_TAN"," ","傅林祥/余慰","邹逸麟","2001/06/30"
,"15488","Hanzhangzhen","韩张镇","韓張鎮",115.324478,36.076046," ","Cunzhen","村镇","7",1820,"9",1820,"9","Qingchao","清朝","Zhili","直隶","Daming Fu","大名府"," "," ",25000,"POINT",9507,"FROM_AC"," ","傅林祥/余慰","邹逸麟","2001/06/30"
,"15489","Huangjindibao","黄金隄堡","黃金隄堡",115.153732,36.458679," ","Cunzhen","村镇","7",1820,"9",1820,"9","Qingchao","清朝","Zhili","直隶","Daming Fu","大名府"," "," ",25000,"POINT",9507,"FROM_TAN"," ","傅林祥/余慰","邹逸麟","2001/06/30"
,"15490","Tougou","头沟","頭溝",118.056686,41.149406," ","Cunzhen","村镇","7",1820,"9",1820,"9","Qingchao","清朝","Zhili","直隶","Chengde Fu","承德府"," "," ",25000,"POINT",9510,"FROM_AC"," ","傅林祥/余慰","邹逸麟","2001/06/30"
,"15491","Mei'ergou","美尔沟","美爾溝",118.243935,41.703217," ","Cunzhen","村镇","7",1820,"9",1820,"9","Qingchao","清朝","Zhili","直隶","Chengde Fu","承德府"," "," ",25000,"POINT",9510,"FROM_TAN"," ","傅林祥/余慰","邹逸麟","2001/06/30"
,"15492","Tielingkou","铁岭口","鐵嶺口",114.239067,39.064509," ","Cunzhen","村镇","7",1820,"9",1820,"9","Qingchao","清朝","Zhili","直隶","Zhengding Fu","正定府"," "," ",25000,"POINT",9516,"FROM_TAN"," ","傅林祥/余慰","邹逸麟","2001/06/30"
,"15493","Tangmeidian","唐湄店","唐湄店",114.899986,38.894348," ","Cunzhen","村镇","7",1820,"9",1820,"9","Qingchao","清朝","Zhili","直隶","Baoding Fu","保定府"," "," ",25000,"POINT",9506,"FROM_TAN"," ","傅林祥/余慰","邹逸麟","2001/06/30"
