FID_,OBJECTID,NAME_PY,NAME_CH,NAME_FT,PRES_LOC,TYPE_PY,TYPE_CH,LEV_RANK,BEG_YR,BEG_RULE,END_YR,END_RULE,DYN_PY,DYN_CH,LEV1_PY,LEV1_CH,LEV2_PY,LEV2_CH,NOTE_ID,OBJ_TYPE,SYS_ID,GEO_SRC,COMPILER,GEOCOMP,CHECKER,ENT_DATE,X_COORD,Y_COORD,AREA
,1,Xiao Xian,萧县,蕭縣, ,Xian,县,6,1911,9,1911,9,Qing Chao,清朝,Jiangsu,江苏,Xuzhou Fu,徐州府,120001,POLYGON,196001, ,满志敏,满志敏, , ,116.889999,34.161399,2480.889892
,2,Mayang Xian,麻阳县,麻陽縣, ,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Hunan,湖南,Yuanzhou Fu,沅州府,120006,POLYGON,196002, ,孟刚,孟刚, , ,109.718002,27.788900,1573.859985
,3,Zhijiang Xian,芷江县,芷江縣, ,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Hunan,湖南,Yuanzhou Fu,沅州府,120006,POLYGON,196003, ,孟刚,孟刚, , ,109.721000,27.468700,3060.070068
,4,Qianyang Xian,黔阳县,黔陽縣, ,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Hunan,湖南,Yuanzhou Fu,沅州府,120006,POLYGON,196004, ,孟刚,孟刚, , ,110.110000,27.328599,3403.959960
,5,Yidu Xian,宜都县,宜都縣, ,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Hubei,湖北,Jingzhou Fu,荆州府,120002,POLYGON,196005, ,孟刚,孟刚, , ,111.416999,30.361000,1759.250000
,6,Changning Xian,长宁县,長寧縣, ,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Guangdong,广东,Huizhou Fu,惠州府,120007,POLYGON,196006, ,孟刚,孟刚, , ,114.195999,24.047700,2371.379882
,7,Lianping Zhou,连平州,連平州, ,Zhou,州,6,1911,9,1911,9,Qingchao,清朝,Guangdong,广东,Huizhou Fu,惠州府,120007,POLYGON,196007, ,孟刚,孟刚, , ,114.518997,24.336500,2204.090087
,8,Longchuan Xian,龙川县,龍川縣, ,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Guangdong,广东,Huizhou Fu,惠州府,120007,POLYGON,196008, ,孟刚,孟刚, , ,115.349998,24.327699,3105.350097
,9,Heping Xian,和平县,和平縣, ,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Guangdong,广东,Huizhou Fu,惠州府,120007,POLYGON,196009, ,孟刚,孟刚, , ,114.996002,24.439599,2371.310058
,10,Heyuan Xian,河源县,河源縣, ,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Guangdong,广东,Huizhou Fu,惠州府,120007,POLYGON,196010, ,孟刚,孟刚, , ,114.813003,23.879999,4198.350097
