OBJECTID,NAME_PY,NAME_CH,NAME_FT,X_COORD,Y_COORD,PRES_LOC,TYPE_PY,TYPE_CH,LEV_RANK,BEG_YR,BEG_RULE,END_YR,END_RULE,DYN_PY,DYN_CH,LEV1_PY,LEV1_CH,LEV2_PY,LEV2_CH,CNTY_PY,CNTY_CH,NOTE_ID,OBJ_TYPE,SYS_ID,GEO_SRC,COMPILER,GEOCOMP,CHECKER,ENT_DATE
1,Yancheng Xian,盐城县,鹽城縣,120.133720,33.385162,江苏盐城市治,Xian,县,6,1911,9,1911,9,,,Jiangsu,江苏,Huai'an Fu,淮安府,,,120001,POINT,121001,FROM_AC,满志敏,满志敏,,2002/05/15
2,Funing Xian,阜宁县,阜寧縣,119.792748,33.791904,江苏阜宁县治,Xian,县,6,1911,9,1911,9,,,Jiangsu,江苏,Huai'an Fu,淮安府,,,120001,POINT,121002,FROM_AC,满志敏,满志敏,,2002/05/15
3,Shanyang Xian,山阳县,山陽縣,119.141106,33.502789,江苏淮安市治,Xian,县,6,1911,9,1911,9,,,Jiangsu,江苏,Huai'an Fu,淮安府,,,120001,POINT,121003,FROM_AC,满志敏,满志敏,,2002/05/15
4,Qinghe Xian,清河县,清河縣,119.016685,33.588356,江苏淮阴市治,Xian,县,6,1911,9,1911,9,,,Jiangsu,江苏,Huai'an Fu,淮安府,,,120001,POINT,121004,FROM_AC,满志敏,满志敏,,2002/05/15
5,Taoyuan Xian,桃源县,桃源縣,118.654595,33.685890,江苏泗阳县城厢,Xian,县,6,1911,9,1911,9,,,Jiangsu,江苏,Huai'an Fu,淮安府,,,120001,POINT,121005,FROM_AC,满志敏,满志敏,,2002/05/15
6,Andong Xian,安东县,安東縣,119.261231,33.766373,江苏涟水县治,Xian,县,6,1911,9,1911,9,,,Jiangsu,江苏,Huai'an Fu,淮安府,,,120001,POINT,121006,FROM_AC,满志敏,满志敏,,2002/05/15
7,Ganyu Xian,赣榆县,贛榆縣,119.090579,34.896896,江苏赣榆县赣马镇,Xian,县,6,1911,9,1911,9,,,Jiangsu,江苏,Hai Zhou,海州,,,120001,POINT,121007,FROM_AC,满志敏,满志敏,,2002/05/15
8,Shuyang Xian,沭阳县,沭陽縣,118.777321,34.134148,江苏沭阳县治,Xian,县,6,1911,9,1911,9,,,Jiangsu,江苏,Hai Zhou,海州,,,120001,POINT,121008,FROM_AC,满志敏,满志敏,,2002/05/15
9,Feng Xian,丰县,豐縣,116.584183,34.703617,江苏丰县治,Xian,县,6,1911,9,1911,9,,,Jiangsu,江苏,Xuzhou Fu,徐州府,,,120001,POINT,121009,FROM_AC,满志敏,满志敏,,2002/05/15
10,Pei Xian,沛县,沛縣,116.926948,34.737995,江苏沛县治,Xian,县,6,1911,9,1911,9,,,Jiangsu,江苏,Xuzhou Fu,徐州府,,,120001,POINT,121010,FROM_AC,满志敏,满志敏,,2002/05/15
11,Dangshan Xian,砀山县,碭山縣,116.340248,34.427879,安徽砀山县治,Xian,县,6,1911,9,1911,9,,,Jiangsu,江苏,Xuzhou Fu,徐州府,,,120001,POINT,121011,FROM_AC,满志敏,满志敏,,2002/05/15
12,Xiao Xian,萧县,蕭縣,116.933830,34.192528,安徽萧县治,Xian,县,6,1911,9,1911,9,,,Jiangsu,江苏,Xuzhou Fu,徐州府,,,120001,POINT,121012,FROM_AC,满志敏,满志敏,,2002/05/15
13,Tongshan Xian,铜山县,銅山縣,117.187683,34.269634,江苏徐州市治,Xian,县,6,1911,9,1911,9,,,Jiangsu,江苏,Xuzhou Fu,徐州府,,,120001,POINT,121013,FROM_AC,满志敏,满志敏,,2002/05/15
14,Pi Zhou,邳州,邳州,117.963066,34.471020,江苏邳县邳城镇,Zhou,州,6,1911,9,1911,9,,,Jiangsu,江苏,Xuzhou Fu,徐州府,,,120001,POINT,121014,FROM_AC,满志敏,满志敏,,2002/05/15
15,Suining Xian,睢宁县,睢寧縣,117.944420,33.899052,江苏睢宁县治,Xian,县,6,1911,9,1911,9,,,Jiangsu,江苏,Xuzhou Fu,徐州府,,,120001,POINT,121015,FROM_AC,满志敏,满志敏,,2002/05/15
16,Suqian Xian,宿迁县,宿遷縣,118.297058,33.958302,江苏宿迁市治,Xian,县,6,1911,9,1911,9,,,Jiangsu,江苏,Xuzhou Fu,徐州府,,,120001,POINT,121016,FROM_AC,满志敏,满志敏,,2002/05/15
17,Taixing Xian,泰兴县,泰興縣,120.016167,32.160381,江苏泰兴县治,Xian,县,6,1911,9,1911,9,,,Jiangsu,江苏,Tong Zhou,通州,,,120001,POINT,121017,FROM_AC,满志敏,满志敏,,2002/05/15
18,Rugao Xian,如皋县,如皋縣,120.558662,32.384022,江苏如皋县治,Xian,县,6,1911,9,1911,9,,,Jiangsu,江苏,Tong Zhou,通州,,,120001,POINT,121018,FROM_AC,满志敏,满志敏,,2002/05/15
