FID_,OBJECTID,NAME_PY,NAME_CH,NAME_FT,PRES_LOC,TYPE_PY,TYPE_CH,LEV_RANK,BEG_YR,BEG_RULE,END_YR,END_RULE,DYN_PY,DYN_CH,LEV1_PY,LEV1_CH,LEV2_PY,LEV2_CH,NOTE_ID,OBJ_TYPE,SYS_ID,GEO_SRC,COMPILER,GEOCOMP,CHECKER,ENT_DATE,X_COORD,Y_COORD,AREA
,1,Yongsui Ting,永绥厅,永綏廳, ,Zhiliting,直隶厅,3,1911,9,1911,9,Qingchao,清朝,Hunan,湖南, , ,120006,POLYGON,195101,FROM_FD,孟刚,孟刚, ,2002/10/11,109.427001,28.427499,1113.755126
,2,Qianzhou Ting,乾州厅,乾州廳, ,Zhiliting,直隶厅,3,1911,9,1911,9,Qingchao,清朝,Hunan,湖南, , ,120006,POLYGON,195102,FROM_FD,孟刚,孟刚, ,2002/10/11,109.759002,28.315200,1058.341308
,3,Fenghuang Ting,凤凰厅,鳳凰廳, ,Zhiliting,直隶厅,3,1911,9,1911,9,Qingchao,清朝,Hunan,湖南, , ,120006,POLYGON,195103,FROM_FD,孟刚,孟刚, ,2002/10/11,109.507003,28.011400,1741.128173
,4,Huangzhou Ting,晃州厅,晃州廳, ,Zhiliting,直隶厅,3,1911,9,1911,9,Qingchao,清朝,Hunan,湖南, , ,120006,POLYGON,195104,FROM_FD,孟刚,孟刚, ,2002/10/11,109.138999,27.235599,1660.671752
,5,Nan'ao Ting,南澳厅,南澳廳, ,Zhiliting,直隶厅,3,1911,9,1911,9,Qingchao,清朝,Guangdong,广东, , ,120007,POLYGON,195105,FROM_FD,孟刚,孟刚, ,2002/10/31,117.031997,23.440000,80.433792
,6,Fogang Ting,佛冈厅,佛岡廳, ,Zhiliting,直隶厅,3,1911,9,1911,9,Qingchao,清朝,Guangdong,广东, , ,120007,POLYGON,195106,FROM_FD,孟刚,孟刚, ,2002/10/31,113.592002,23.925600,923.675659
,7,Lianshan Ting,连山厅,連山廳, ,Zhiliting,直隶厅,3,1911,9,1911,9,Qingchao,清朝,Guangdong,广东, , ,120007,POLYGON,195107,FROM_FD,孟刚,孟刚, ,2002/10/31,112.166000,24.538499,2352.561035
,8,Chixi Ting,赤溪厅,赤溪廳, ,Zhiliting,直隶厅,3,1911,9,1911,9,Qingchao,清朝,Guangdong,广东, , ,120007,POLYGON,195108,FROM_FD,孟刚,孟刚, ,2002/10/31,112.941001,21.943899,262.290191
,9,Yangjiang Ting,阳江厅,陽江廳, ,Zhiliting,直隶厅,3,1911,9,1911,9,Qingchao,清朝,Guangdong,广东, , ,120007,POLYGON,195109,FROM_FD,孟刚,孟刚, ,2002/10/31,111.864997,21.847299,3685.094238
,10,Haimen Ting,海门厅,海門廳, ,Zhiliting,直隶厅,3,1911,9,1911,9,Qingchao,清朝,Jiangsu,江苏, , ,120001,POLYGON,195110,FROM_FD,满志敏,满志敏, ,2002/05/15,121.376998,31.921899,917.863037
