FID_,OBJECTID,NAME_PY,NAME_CH,NAME_FT,X_COORD,Y_COORD,PRES_LOC,TYPE_PY,TYPE_CH,LEV_RANK,BEG_YR,BEG_RULE,END_YR,END_RULE,DYN_PY,DYN_CH,LEV1_PY,LEV1_CH,LEV2_PY,LEV2_CH,CNTY_PY,CNTY_CH,NOTE_ID,OBJ_TYPE,SYS_ID,GEO_SRC,COMPILER,GEOCOMP,CHECKER,ENT_DATE
,1,Hai Zhou,海州,海州,119.126012,34.582213,江苏连云港市西南海州,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Jiangsu,江苏, , , , ,120001,POINT,120101,FROM_AC,满志敏,满志敏, ,2002/05/15
,2,Xuzhou Fu,徐州府,徐州府,117.187683,34.269634,江苏徐州市治,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Anhui,安徽, , , , ,120004,POINT,120102,FROM_AC,满志敏,满志敏, ,2002/05/15
,3,Tong Zhou,通州,通州,120.854645,32.010471,江苏南通市治,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Jiangsu,江苏, , , , ,120001,POINT,120103,FROM_AC,满志敏,满志敏, ,2002/05/15
,4,Haimen Ting,海门厅,海門廳,121.168198,31.893732,江苏海门县治,Zhiliting,直隶厅,3,1911,9,1911,9,Qingchao,清朝,Jiangsu,江苏, , , , ,120001,POINT,120104,FROM_AC,满志敏,满志敏, ,2002/05/15
,5,Nan'ao Ting,南澳厅,南澳廳,117.095764,23.455618,广东南澳县深澳镇,Zhiliting,直隶厅,3,1911,9,1911,9,Qingchao,清朝,Guangdong,广东, , , , ,120007,POINT,120105,FROM_AC,孟刚,孟刚, ,2002/10/31
,6,Jiaying Zhou,嘉应州,嘉應州,116.110497,24.315781,广东梅州市市治,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Guangdong,广东, , , , ,120007,POINT,120106,FROM_AC,满志敏,满志敏, ,2002/10/31
,7,Huizhou Fu,惠州府,惠州府,114.410285,23.089378,广东惠州市,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Guangdong,广东, , , , ,120007,POINT,120107,FROM_AC,满志敏,满志敏, ,2002/10/31
,8,Nanxiong Zhou,南雄州,南雄州,114.302086,25.118843,广东南雄县县治雄州镇,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Guangdong,广东, , , , ,120007,POINT,120108,FROM_AC,满志敏,满志敏, ,2002/10/31
,9,Fogang Ting,佛冈厅,佛岡廳,113.531052,23.871895,广东佛冈县县治石角镇,Zhiliting,直隶厅,3,1911,9,1911,9,Qingchao,清朝,Guangdong,广东, , , , ,120007,POINT,120109,FROM_AC,孟刚,孟刚, ,2002/10/31
,10,Chixi Ting,赤溪厅,赤溪廳,112.989914,21.996136,广东台山县赤溪镇,Zhiliting,直隶厅,3,1911,9,1911,9,Qingchao,清朝,Guangdong,广东, , , , ,120007,POINT,120110,FROM_AC,孟刚,孟刚, ,2002/10/31
,11,Yangjiang Ting,阳江厅,陽江廳,111.958946,21.845419,广东阳江市市治,Zhiliting,直隶厅,3,1911,9,1911,9,Qingchao,清朝,Guangdong,广东, , , , ,120007,POINT,120111,FROM_AC,孟刚,孟刚, ,2002/10/31
,12,Luoding Zhou,罗定州,羅定州,111.570351,22.766914,广东罗定县县治罗城镇,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Guangdong,广东, , , , ,120007,POINT,120112,FROM_AC,满志敏,满志敏, ,2002/10/31
,13,Lian Zhou,连州,連州,112.378121,24.779701,广东连县县治连州镇,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Guangdong,广东, , , , ,120007,POINT,120113,FROM_AC,满志敏,满志敏, ,2002/10/31
,14,Qin Zhou,钦州,欽州,108.614395,21.951426,广西钦州市市治,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Guangdong,广东, , , , ,120007,POINT,120114,FROM_AC,满志敏,满志敏, ,2002/10/31
,15,Jingmen Zhou,荆门州,荊門州,112.198418,31.028728,湖北荆门市市治,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Hubei,湖北, , , , ,120002,POINT,120115,FROM_AC,满志敏,满志敏, ,2002/09/03
,16,Changsha Fu,长沙府,長沙府,112.978134,28.198198,湖南长沙市市治,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Hunan,湖南, , , , ,120006,POINT,120116,FROM_AC,满志敏,满志敏, ,2002/10/11
,17,Yongzhou Fu,永州府,永州府,111.612564,26.210339,湖南永州市市治,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Hunan,湖南, , , , ,120006,POINT,120117,FROM_AC,满志敏,满志敏, ,2002/10/11
,18,Guangde Zhou,广德州,廣德州,119.420189,30.894686,安徽广德县县治桃州镇,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Anhui,安徽, , , , ,120004,POINT,120118,FROM_AC,满志敏,满志敏, ,2002/12/10
,19,Fengyang Fu,凤阳府,鳳陽府,117.537746,32.865348,安徽凤阳县县治西,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Anhui,安徽, , , , ,120004,POINT,120119,FROM_AC,满志敏,满志敏, ,2002/12/10
,20,Chu Zhou,滁州,滁州,118.304161,32.316994,安徽滁州市市治,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Anhui,安徽, , , , ,120004,POINT,120120,FROM_AC,满志敏,满志敏, ,2002/12/10
,21,He Zhou,和州,和州,118.361122,31.714224,安徽和县历阳镇,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Anhui,安徽, , , , ,120004,POINT,120121,FROM_AC,满志敏,满志敏, ,2002/12/10
,22,Liu'an Zhou,六安州,六安州,116.494118,31.754595,安徽六安市市治,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Anhui,安徽, , , , ,120004,POINT,120122,FROM_AC,满志敏,满志敏, ,2002/12/10
,23,Si Zhou,泗州,泗州,117.878853,33.478207,安徽泗县县治,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Anhui,安徽, , , , ,120004,POINT,120123,FROM_AC,满志敏,满志敏, ,2002/12/10
,24,Yongshun Xian,永顺府,永顺府,109.852608,29.005901,湖南永顺县县治,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Hunan,湖南, , , , ,120006,POINT,120124,FROM_AC,满志敏,满志敏, ,2002/10/11
,25,Yuanzhou Fu,沅州府,沅州府,109.684082,27.447302,湖南芷江县县治,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Hunan,湖南, , , , ,120006,POINT,120125,FROM_AC,满志敏,满志敏, ,2002/10/11
,26,Qianzhou Ting,乾州厅,乾州廳,109.691626,28.257548,湖南吉首市乾州,Zhiliting,直隶厅,3,1911,9,1911,9,Qingchao,清朝,Hunan,湖南, , , , ,120006,POINT,120126,FROM_AC,孟刚,孟刚, ,2002/10/11
,27,Fenghuang Ting,凤凰厅,鳳凰廳,109.598991,27.952387,湖南凤凰县县治,Zhiliting,直隶厅,3,1911,9,1911,9,Qingchao,清朝,Hunan,湖南, , , , ,120006,POINT,120127,FROM_AC,孟刚,孟刚, ,2002/10/11
,28,Yongsui Ting,永绥厅,永綏廳,109.487503,28.587791,湖南花垣县县治,Zhiliting,直隶厅,3,1911,9,1911,9,Qingchao,清朝,Hunan,湖南, , , , ,120006,POINT,120128,FROM_AC,孟刚,孟刚, ,2002/10/11
,29,Huangzhou Ting,晃州厅,晃州廳,109.190101,27.381504,湖南新晃侗族自治县东北老晃城,Zhiliting,直隶厅,3,1911,9,1911,9,Qingchao,清朝,Hunan,湖南, , , , ,120006,POINT,120129,FROM_AC,孟刚,孟刚, ,2002/10/11
,30,Chen Zhou,郴州,郴州,113.025139,25.802719,湖南郴州市市治,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Hunan,湖南, , , , ,120006,POINT,120130,FROM_AC,满志敏,满志敏, ,2002/10/11
,31,Jing Zhou,靖州,靖州,109.694778,26.575760,湖南靖州县县治,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Hunan,湖南, , , , ,120006,POINT,120131,FROM_AC,满志敏,满志敏, ,2002/10/11
,32,Li Zhou,澧州,澧州,111.756988,29.640152,湖南灃县县治,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Hunan,湖南, , , , ,120006,POINT,120132,FROM_AC,满志敏,满志敏, ,2002/10/11
,33,Guiyang Zhou,桂阳州,桂陽州,112.725929,25.741970,湖南桂阳县县治,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Hunan,湖南, , , , ,120006,POINT,120133,FROM_AC,满志敏,满志敏, ,2002/10/11
,34,Xing'an Fu,兴安府,興安府,109.026970,32.693626,陕西安康市治,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Shanxi,陕西, , , , ,120003,POINT,120134,FROM_AC,满志敏,满志敏, ,2002/06/25
,35,Fengxiang Fu,凤翔府,凤翔府,107.385918,34.522518,陕西省凤翔县县治,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Shanxi,陕西, , , , ,120003,POINT,120135,FROM_AC,满志敏,满志敏, ,2002/06/25
,36,Hanzhong Fu,汉中府,漢中府,107.035187,33.076485,陕西省汉中市市治,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Shanxi,陕西, , , , ,120003,POINT,120136,FROM_AC,满志敏,满志敏, ,2002/06/25
,37,Qian Zhou,乾州,乾州,108.235603,34.530300,陕西省乾县县治,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Shanxi,陕西, , , , ,120003,POINT,120137,FROM_AC,满志敏,满志敏, ,2002/06/25
,38,Shang Zhou,商州,商州,109.932465,33.869892,陕西省商州市市治,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Shanxi,陕西, , , , ,120003,POINT,120138,FROM_AC,满志敏,满志敏, ,2002/06/25
,39,Tong Zhou,同州府,同州府,109.939082,34.797245,陕西省大荔县县治,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Shanxi,陕西, , , , ,120003,POINT,120139,FROM_AC,满志敏,满志敏, ,2002/06/25
,40,Bin Zhou,邠州,邠州,108.077988,35.039658,陕西省彬县县治,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Shanxi,陕西, , , , ,120003,POINT,120140,FROM_AC,满志敏,满志敏, ,2002/06/25
