True,Predicted,Entry
Non-Riot,Peasant,又谕、从前诸罗县奸民杨光勋等兄弟。结会树党。劫囚滋事一案。业据常青等将首要各犯。陆续拏获正法。其案内逸犯张烈列。赖荣叶省蔡福、张员等五名。现据柴大纪等奏、尚未就获。张烈等系帮助杨光勋等、劫囚害官重犯。恐因台地查拏紧急。自必潜逃至漳泉一带。内地藏匿。著传谕常青等。严饬所属。将张烈等五犯。严密侦缉。务期迅速弋获。以正刑章。毋任远扬漏网。
Non-Riot,Peasant,湖南巡抚张渠奏报、湖南地方。民情好讼。吏治因循。得旨。是。湖南吏治。原属平常。端赖汝之整饬。莫以空言应故事而已也。
Non-Riot,Peasant,辛酉。山西巡抚倭伦疏报、汾州府属宁乡县、临县、山贼劫掠村庄、抗拒官兵、贼首安守荣、刘虎等、十余人、胁从者、五六百人、屯住永宁州骨脊沟。臣会同太原总兵官韩天伏、率领弁兵、相机剿抚。下部知之
Non-Riot,Peasant,又谕。据孙士毅奏、拏获拒捕伤官凶犯、严审定拟一摺。除首犯李章豪、黄迪亮。黄礼亮、业经恭请王命正法外。其余各犯。分别绞斩各罪定拟等语。已批交行在法司核拟速奏矣。广东茭塘地方。向为盗薮。民情凶悍经从前屡次严惩之后。今复敢拒捕伤官。纠众至三四十人之多。实属目无法纪。自应速行严办。俾滨海民人。共知警戒。该抚办理此案。既能迅速查拏。且使案内凶犯。不致一名漏网。伊系文人。不意其竟能如此。可嘉之至。孙士毅、著交部议叙。仍著赏戴花翎。并赏御用大荷包一对。小荷包二对。以示奖励。其在事出力人员。著该抚查明。咨部分别议叙。
Militia,Peasant,辛卯。大学士等、以湖广总督郭琇、遵上□日查明私派激变知州赵国瑄等事入奏。上曰。郭琇止将赵国瑄等事查出、并未叙及往审之刚五达等、公与不公之处。著移文郭琇、将刚五达等所审公与不公、及伊等途中曾、否乱行、令其一并查明具奏。
Militia,Peasant,庚戌。谕、福建台湾府、孤悬海外。远隔重洋。地方辽阔。民情刁悍。无藉奸徒。往往借端滋事。皆由地方官吏。任意侵婪。累民敛怨。而督抚遇有台湾道府厅县缺出。又以该处地土丰饶。不问属员能胜任与否。每用其私人。率请调补。俾得侵渔肥橐。所调各员。不以涉险为虞。转以调美缺为喜。到任后利其津益。贪黩无厌。而于地方案件。惟知将就完结。希图了事。以致奸民无所畏惮。始而作奸犯科。互相械斗。甚至倡立会名。纠众不法。遂尔酿成巨案。总因历任督抚、阘冗废弛。地方官吏。竟不可问。从前历任督抚。业经身故者。今不复追治其罪。此外如富勒浑、富纲、雅德等、亦姑免其深究。但经此次大加惩创之后。海疆重地。不可不力为整顿。以期绥靖地方。向来三年一次。出派巡台御史。满汉各一员。前往巡视。该御史职分较小。且由京派往。不能备悉该处情形。易为地方官欺朦。不过虚应故事。仍属有名无实。嗣后著照四川巡查促浸儹拉之例。令该督抚、及水师陆路两提督。每年轮值一人。前往台湾。严行稽查。该处道府厅县。本皆督抚所属。其贤否自易知悉。如有骩法营私。扰累小民之事。即可就近查明。据实参奏。至营伍弁兵。系由内地换班、派往防守。为水陆两提督素所管辖。其操防一切。孰勤孰惰。及有无扰累生事之处。尤易随时查察。既足以资弹压。又可以整饬吏治戎行于海疆实为有裨。再台湾道府。向有缺出。俱由该督奏请调补。易启夤缘瞻徇之弊。嗣后该处道府缺出。俱著请旨简放。倘该督抚提督等。于奉有此旨后。仍前玩弛。并不实力整顿。又复虚应故事。或致地方有滋事之案。惟该督抚提督是问。至海洋虽风信靡常。而该督抚等、前往巡视。原不必拘定时日。祇须视何月分风信平稳之时。配船前渡。亦不至于涉险也。所有请派巡查台湾御史之例。竟行停止。著为令。
Others,Non-Riot,又谕曰、车木楚克扎布、数年来效力行间。近复招服博和勒、那木扎勒等乌梁海。善为抚纳。著加恩封为郡王。原任公多岳特、自行告入叛逆乌梁海寨内。勤劳可念。著加恩赏给公品级。四等台吉帕克穆、伍良海、升授三等台吉。伍良海身故。令伊子承袭。内大臣察达克、赏缎六端。副都统赤伦、散秩大臣图布慎、各赏缎五端。赤伦之弟察罕、赏戴孔雀翎。署骁骑校索伦班图、巴尔虎扎布俱授为骁骑校。索伦领催什第、著署骁骑校。其察达克所属得木齐、收楞额、及兵丁等。著纳木扎勒、酌量赏给银缎。
Others,Non-Riot,刑部等衙门会议、顺天乡试中式之周启、系原任步军统领托合齐家人周三之子。倩人代笔、串通誊录受卷所吏役、通同作弊。应绞监候。周三于贿嘱司狱周芝荃、致死首告伊子之邵文卿、希图灭口案内、已经论斩、从重归结。至于说事通贿之谈汝龙、高岳、受赃之誊录所书吏阿亮公、受卷所书吏钱灿如、亦应绞监候。代周启作文之王廷铨、应杖徒。失察受卷所官唐县知县、李嶟瑞、降一级、罚俸一年。监试御史杨笃生、陈勋、阿迩赛、石芳柱、各罚俸一年。誊录所官无极县知县陈明伦、已经休致。提调官顺天府府丞李法祖、已经别案革职。俱无庸议。得上□日、周三、周启、身系奴仆、肆行贿赂、紊乱科场大典。情罪可恶。俱著即处斩。李嶟瑞、杨笃生、阿迩赛、石芳柱、陈勋等、系专司科场事务官员。怠玩疎忽、不行严察。殊属溺职。著革职。余依议。
Others,Non-Riot,谕军机大臣等、据唐喀禄等奏称、辉特人众。自迁至扎克赛地方。自相抢掠。甚不安静。且本系阿逆亲属。将来不免滋事。请旨迁至呼伦贝尔、齐齐哈尔等处。设有事端。彼处密尔索伦。办理甚易等语。唐喀禄等所奏甚是。辉特人等。原非善类。自应豫行办理。但现在科布多驻兵无多。而伊等又无背叛实据。且与其迁至呼伦贝尔、齐齐哈尔等处。又不如即行剿灭。永绝根株。著传谕车布登扎布等。悉心查察。如已有可疑形迹。即将伊等剿灭。倘尚安本分。应暂为安抚。惟宜加意防范。俟将来再行办理。至唐喀禄所奏、巴勒济得木齐、恳请同色布腾、迁往察哈尔居住等语。从前军机大臣等议将巴勒济属人归入辉特部落。令在乌兰固木种地。业经准行。今巴勒济得木齐、既愿往察哈尔居住。俟其至乌里雅苏台时。即照唐喀禄所请。赏给口粮。送至察哈尔地方安插。不必仍照前旨办理。
Others,Non-Riot,甲子。九卿等议、户部书办沈天生等、串通本部员外郎伊尔赛等、包揽湖滩河朔事例、额外多索银两。沈天生、伊尔赛、应拟绞、监候秋后处决。并此案受贿之原任刑部尚书齐世武、原任步军统领托合齐等、应分别处分。上谕大学士等曰、阅此本、齐世武、托合齐口供、并未取入。齐世武品行龌龊无耻。前曾奏云、不与人往来不取一文今于湖滩河朔事例一案受贿矣。托合齐行事悖乱又在鄂缮家行走。不时请人会饮其中亦有惧彼而往者亦有结成党羽以威吓人者今伊等现拘禁宗人府著王雅尔江阿贝子苏努公景熙大学士温达萧永藻会同刑部详审事已发觉实供则已若或巧辩尔等即行刑讯。
Others,Peasant,两江总督陆建瀛等奏、刁民遇事聚众。随时持平酌办。得旨、秉公持正。乃正办也。乱言蜚语。一概不顾方好。
Others,Peasant,谕军机大臣等、据特成额奏、查明通城县黎赞武等、聚众殴官起衅情形。并拏获案犯。现在审办一摺。已于摺内详悉批示矣。该县郑师、因黎明翰、被胞侄黎玉敖等、捆殴成伤。伊妻孙氏赴县禀报。亲往查验。突遇黎赞武等、拦阻殴打。是该县并无办理不善之处。虽有被逼至黎赞武家内、勒写照稿一节。但此等乱民。与叛逆贼众不同。原不必遽以身殉。该县即被勒逼从。从权写给。以为脱身之计。尚近人情。细核此案情节。该县竟属无罪。不可参处以长刁风。至黎赞武等、恃其聚族而居。人多势众。竟敢聚众殴官。并将知县逼至家中。勒写字稿。不法已极。即将首犯凌迟。亦不足蔽辜。必须按名弋获。尽法惩治。方足以靖人心而肃法纪。著传谕特成额、严饬各属上紧查拏。毋使一名漏网。并将现获各犯。速行究审。从重定拟具奏。今获正犯否。著即速奏。将此由五百里谕令知之。
